hour_index,WND,SUN,WAT,OIL,NG,COL,NUC,OTH
391,1074,0,237,0,1192,2800,0,115
392,1120,0,235,0,1164,2649,0,114
393,812,0,235,0,1322,2501,0,115
394,864,0,235,0,1193,2079,0,114
395,906,0,240,0,1226,2026,0,119
396,873,0,235,0,1276,2309,0,116
397,847,44,237,0,1319,2568,0,117
398,563,603,237,0,1515,2651,0,114
399,476,1085,237,0,1221,2337,0,94
400,649,1328,234,0,1278,1659,0,75
401,723,1387,235,0,1403,1480,0,70
402,801,1419,236,0,1392,1477,0,69
403,843,1245,236,0,1406,1588,0,70
404,1030,1128,233,0,1387,1493,0,69
405,1019,1064,234,0,1443,1321,0,66
406,890,839,236,0,1547,1595,0,66
407,1109,932,239,0,1406,1978,0,67
408,1212,491,241,0,1437,1967,0,70
409,1047,329,243,0,1429,2020,0,70
410,999,243,241,0,1726,2628,0,74
411,975,18,244,0,1775,2959,0,74
412,973,0,243,0,1709,3135,0,75
413,1028,0,240,0,1686,3098,0,75
414,992,0,244,0,1379,3041,0,77
415,857,0,255,0,1252,2891,0,77
416,700,0,262,0,1444,2907,0,79
417,602,0,260,0,1306,2970,0,77
418,638,0,259,0,1171,2858,0,77
419,735,0,258,0,1152,2695,0,79
420,633,0,260,0,1223,2520,0,77
421,560,43,262,0,1269,2852,0,78
422,506,550,260,0,1408,2858,0,77
423,495,1189,257,0,1192,2363,0,75
424,617,1333,254,0,1030,1680,0,71
425,649,1415,255,0,880,1656,0,68
426,625,1406,255,0,886,1799,0,66
427,558,1391,252,0,882,1785,0,65
428,486,1350,252,0,948,1774,0,64
429,486,1235,252,0,995,1831,0,64
430,481,1246,246,0,1041,2228,0,64
431,617,1230,250,0,1080,2696,0,65
432,867,1327,247,0,1202,2937,0,65
433,839,1196,249,0,1484,2932,0,66
434,824,496,250,0,1793,3478,0,66
435,835,30,250,0,1846,3494,0,69
436,1038,0,256,0,1847,3506,0,69
437,1065,0,256,0,1772,3358,0,73
438,1010,0,257,0,1518,3363,0,72
439,807,0,258,0,1326,3330,0,76
440,730,0,256,0,1277,3335,0,75
441,574,0,253,0,1235,3374,0,77
442,460,0,255,0,1136,3386,0,76
443,706,0,255,0,1092,3335,0,77
444,850,0,255,0,1110,3309,0,73
445,787,78,251,0,1111,3263,0,73
446,771,724,245,0,1094,3341,0,71
447,767,1312,248,0,873,3064,0,70
448,614,1416,247,0,754,3211,0,67
449,470,1447,242,0,765,3394,0,67
450,293,1415,241,0,758,3286,0,64
451,370,1282,245,0,754,2927,0,63
452,469,1138,237,0,791,3044,0,63
453,928,1194,241,0,757,3023,0,64
454,1042,1008,240,0,785,3172,0,64
455,796,1091,244,0,908,3388,0,63
456,807,1187,242,0,1070,3278,0,67
457,980,1126,245,0,1258,3509,0,66
458,956,571,244,0,1507,3601,0,68
459,753,38,244,0,1524,3629,0,68
460,610,0,243,0,1552,3698,0,72
461,805,0,246,0,1478,3603,0,71
462,718,0,244,0,1297,3494,0,73
463,628,0,244,0,1074,3204,0,72
464,723,0,244,0,994,3101,0,74
465,837,0,245,0,987,3052,0,73
466,790,0,244,0,860,3057,0,71
467,794,0,244,0,833,3124,0,72
468,821,0,245,0,865,3166,0,73
469,734,65,243,0,995,3249,0,72
470,491,721,241,0,904,3207,0,71
471,352,1361,241,0,817,2761,0,70
472,325,1453,240,0,661,2346,0,68
473,326,1468,240,0,754,2459,0,65
474,476,1492,239,0,738,2291,0,63
475,607,1484,241,0,780,2099,0,63
476,751,1461,239,0,734,2013,0,61
477,940,1462,242,0,748,1955,0,62
478,1075,1441,244,0,824,2148,0,62
479,1116,1392,242,0,963,2556,0,62
480,1068,1304,241,0,1319,2953,0,63
481,1196,1089,244,0,1481,2998,0,66
482,1252,550,243,0,1661,3085,0,69
483,1246,43,242,0,1689,3447,0,70
484,1436,0,243,0,1685,3447,0,69
485,1344,0,243,0,1723,3270,0,71
486,1298,0,244,0,1526,3240,0,69
487,1328,0,242,0,1305,3211,0,74
488,1106,0,249,0,1094,3379,0,73
489,1107,0,242,0,937,3266,0,76
490,1091,0,243,0,1006,3231,0,73
491,1083,0,242,0,992,3265,0,75
492,1106,0,244,0,980,3294,0,75
493,775,48,252,0,972,3377,0,75
494,561,618,253,0,946,3405,0,75
495,652,1213,252,0,635,3409,0,72
496,656,1280,249,0,640,2764,0,70
497,640,1159,249,0,611,2381,0,68
498,1002,1216,251,0,627,2166,0,70
499,1214,1195,247,0,663,2150,0,69
500,1375,1285,250,0,650,1934,0,75
501,1432,1292,249,0,717,1769,0,87
502,1174,1333,248,0,687,2006,0,83
503,965,1307,246,0,667,2266,0,84
504,976,1233,249,0,762,2182,0,87
505,635,1058,246,0,1053,2234,0,88
506,581,488,248,0,1364,2393,0,89
507,606,31,249,0,1349,2412,0,89
508,594,0,247,0,1361,2557,0,93
509,554,0,248,0,1407,2807,0,86
510,520,0,246,0,1357,3135,0,89
511,429,0,248,0,1008,3331,0,89
512,271,0,245,0,803,3548,0,89
513,314,0,247,0,703,3534,0,88
514,392,0,247,0,658,3482,0,91
515,208,0,246,0,714,3506,0,86
516,143,0,244,0,736,3537,0,86
517,148,68,245,0,719,3534,0,86
518,121,637,246,0,700,3484,0,90
519,145,1168,245,0,620,2974,0,90
520,233,1308,244,0,640,2224,0,89
521,360,1240,248,0,653,2131,0,90
522,601,1067,243,0,651,1922,0,95
523,1061,1139,246,0,613,1544,0,94
524,1625,1094,243,0,671,1405,0,90
525,1912,1084,247,0,675,1363,0,89
526,1792,931,243,0,706,1492,0,94
527,2130,785,244,0,655,1417,0,93
528,2068,710,243,0,824,1412,0,95
529,1997,471,245,0,1109,1626,0,93
530,2064,144,242,0,1258,2325,0,93
531,1660,13,245,0,1452,3074,0,93
532,1296,0,243,0,1376,3232,0,94
533,1511,0,245,0,1424,3204,0,94
534,1707,0,240,0,1281,3116,0,93
535,1628,0,244,0,901,3105,0,93
536,1653,0,243,0,705,3082,0,95
537,1641,0,243,0,692,3075,0,95
538,1575,0,242,0,701,3164,0,96
539,1225,0,244,0,683,3286,0,97
540,1050,0,239,0,697,3329,0,95
541,649,79,242,0,700,3488,0,90
542,567,688,240,0,666,3175,0,96
543,855,1168,244,0,626,2196,0,96
544,1302,1121,243,0,646,1713,0,95
545,1674,998,241,0,625,1337,0,96
546,2139,969,245,0,693,1306,0,93
547,2327,858,245,0,645,1291,0,95
548,2388,1000,247,0,643,1265,0,93
549,2434,1006,246,0,633,1253,0,92
550,2389,945,243,0,670,1265,0,92
551,2379,814,243,0,689,1308,0,92
552,2348,861,246,0,863,1273,0,96
553,2299,668,245,0,1067,1345,0,94
554,2388,207,246,0,1291,1832,0,94
555,2008,23,241,0,1419,2765,0,94
556,1889,0,244,0,1455,3122,0,95
557,1813,0,246,0,1267,3218,0,95
558,1793,0,242,0,1174,3014,0,92
559,1782,0,247,0,886,2758,0,93
560,1888,0,243,0,624,2271,0,92
561,1918,0,245,0,670,2105,0,92
562,1940,0,244,0,666,1995,0,92
563,1923,0,245,0,687,2103,0,89
564,2007,0,243,0,663,2462,0,91
565,2143,101,245,0,755,2810,0,91
566,2026,820,246,0,661,2682,0,91
567,2121,1365,245,0,678,2130,0,92
568,2175,1411,244,0,633,1910,0,90
569,2028,1394,245,0,673,1833,0,91
570,1975,1436,246,0,651,1735,0,90
571,2080,1427,244,0,611,1577,0,90
572,2108,1432,250,0,718,1795,0,93
573,2110,1423,247,0,718,1967,0,95
574,2158,1372,250,0,647,2047,0,94
575,2179,1366,249,0,712,2109,0,93
576,2126,1354,254,0,957,2126,0,94
577,2041,1288,249,0,1130,2617,0,89
578,2035,665,251,0,1400,2779,0,92
579,1923,49,247,0,1499,2878,0,92
580,1829,0,252,0,1508,2785,0,93
581,1772,0,245,0,1423,2788,0,93
582,1657,0,249,0,1293,2931,0,94
583,1475,0,248,0,1156,2941,0,93
584,1437,0,249,0,971,3006,0,94
585,1280,0,248,0,887,3013,0,94
586,1184,0,251,0,838,3165,0,92
587,1174,0,249,0,838,3136,0,93
588,1084,0,250,0,1006,3293,0,89
589,1195,95,247,0,1050,3328,0,95
590,1165,797,250,0,946,3124,0,93
591,1269,1373,249,0,696,2371,0,92
592,1392,1439,249,0,692,1790,0,89
593,1396,1325,251,0,716,1545,0,85
594,1148,1308,248,0,745,1720,0,86
595,1119,1372,250,0,770,2191,0,83
596,1192,1427,252,0,811,2818,0,82
597,1223,1364,247,0,816,3095,0,83
598,1014,1275,252,0,798,3214,0,82
599,955,1219,248,0,916,3297,0,83
600,929,1134,251,0,1061,3427,0,86
601,715,1015,248,0,1240,3429,0,85
602,532,530,250,0,1576,3509,0,86
603,518,44,248,0,1560,3556,0,86
604,674,0,251,0,1540,3344,0,87
605,693,0,249,0,1520,3399,0,91
606,505,0,251,0,1356,3587,0,88
607,417,0,248,0,947,3570,0,87
608,622,0,253,0,861,3490,0,89
609,692,0,251,0,849,3235,0,90
610,817,0,247,0,815,3063,0,90
611,787,0,249,0,828,3114,0,87
612,789,0,247,0,876,3307,0,90
613,788,33,247,0,993,3492,0,90
614,828,304,251,0,984,3578,0,90
615,797,850,247,0,730,3572,0,90
616,648,1167,251,0,716,3335,0,86
617,1029,1259,246,0,695,3062,0,91
618,1513,1312,250,0,698,2638,0,90
619,1879,1381,244,0,690,2386,0,89
620,1813,1348,242,0,740,2630,0,88
621,1660,1302,242,0,788,3003,0,86
622,1750,1245,242,0,793,3100,0,83
623,2157,1150,243,0,867,3006,0,86
624,2044,859,244,0,1120,2969,0,87
625,1963,772,243,0,1342,3075,0,90
626,1551,566,243,0,1577,3279,0,92
627,958,57,242,0,1663,3391,0,92
628,849,0,241,0,1766,3257,0,92
629,722,0,244,0,1775,3389,0,93
630,335,0,238,0,1706,3585,0,94
631,289,0,244,0,1345,3560,0,97
632,307,0,241,0,990,3351,0,96
633,334,0,238,0,941,3271,0,95
634,271,0,244,0,928,3285,0,94
635,158,0,240,0,931,3426,0,95
636,134,0,244,0,997,3535,0,93
637,150,91,243,0,992,3522,0,94
638,155,837,242,0,954,3486,0,95
639,165,1364,243,0,718,2941,0,91
640,285,1423,239,0,671,2164,0,89
641,442,1433,244,0,658,1798,0,89
642,634,1449,243,0,690,1702,0,87
643,813,1463,244,0,697,1703,0,86
644,974,1466,242,0,745,2132,0,85
645,1157,1431,242,0,720,2338,0,85
646,1155,1376,243,0,757,2444,0,85
647,1120,1380,242,0,876,2635,0,81
648,1038,1343,243,0,995,2328,0,84
649,1073,1233,242,0,1250,2645,0,84
650,1079,663,245,0,1494,3239,0,85
651,914,57,245,0,1606,3291,0,89
652,850,0,242,0,1607,3298,0,91
653,1075,0,245,0,1445,3275,0,93
654,1028,0,242,0,1294,3193,0,91
655,1040,0,244,0,958,3112,0,92
656,923,0,243,0,1000,3076,0,92
657,695,0,244,0,903,3059,0,93
658,597,0,243,0,836,3080,0,96
659,535,0,244,0,841,2987,0,97
660,489,0,244,0,869,2978,0,95
661,552,100,244,0,899,3164,0,96
662,651,819,242,0,817,2942,0,92
663,697,1357,238,0,786,2247,0,89
664,721,1418,244,0,693,1797,0,86
665,838,1441,240,0,732,1778,0,85
666,979,1465,244,0,797,1809,0,82
667,1091,1447,242,0,752,2102,0,82
668,1302,1445,242,0,770,2577,0,81
669,1566,1410,241,0,780,3146,0,79
670,1493,1313,239,0,858,3355,0,80
671,1506,1204,242,0,904,3522,0,83
672,1613,1169,239,0,1063,3400,0,81
673,1484,1034,239,0,1368,3473,0,83
674,1587,609,246,0,1577,3430,0,84
675,1400,46,241,0,1707,3374,0,86
676,1245,0,241,0,1731,3201,0,87
